id,name,slug,party_key,party_label,chamber,constituency,photo_url,source_url,active,review_status
sen-roman-marius-valentin,ROMAN Marius-Valentin,roman-marius-valentin,AUR,AUR,Senat,Circumscripţia electorală nr.10 Buzău,/photos/portraits/sen-roman-marius-valentin.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=3090f662-69b9-4088-94ea-ad1847401b50,true,approved
sen-rujan-ion-cristinel,RUJAN Ion-Cristinel,rujan-ion-cristinel,PSD,PSD,Senat,Circumscripţia electorală nr.20 Gorj,/photos/portraits/sen-rujan-ion-cristinel.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=400f5737-4844-4c7d-98da-aee69c2428d0,true,approved
sen-rus-vasile-ciprian,RUS Vasile-Ciprian,rus-vasile-ciprian,USR,USR,Senat,Circumscripţia electorală nr.13 Cluj,/photos/portraits/sen-rus-vasile-ciprian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e5da6de6-88cd-468a-b161-b32caac784f3,true,approved
sen-rusu-ioan-cristian,RUSU Ioan-Cristian,rusu-ioan-cristian,PACE,PACE,Senat,Circumscripţia electorală nr.12 Călăraşi,/photos/portraits/sen-rusu-ioan-cristian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=d9cf2a62-6109-4d68-9452-b54d6b4e786f,true,approved
sen-rusu-petrica-lucian,RUSU Petrică Lucian,rusu-petrica-lucian,PNL,PNL,Senat,Circumscripţia electorală nr.24 Iaşi,/photos/portraits/sen-rusu-petrica-lucian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=3f7d19d2-b8d0-4309-894c-b71561f01985,true,approved
sen-sandu-mircea-ionut,SANDU Mircea-Ionuț,sandu-mircea-ionut,AUR,AUR,Senat,Circumscripţia electorală nr.20 Gorj,/photos/portraits/sen-sandu-mircea-ionut.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=74a1ca6f-7e3c-49ea-b9d7-b8df00bf7766,true,approved
sen-sava-clement,SAVA Clement,sava-clement,PACE,PACE,Senat,Circumscripţia electorală nr.14 Constanţa,/photos/portraits/sen-sava-clement.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=988c7a7c-2a4e-476d-bcc0-bcc1d6e5b97b,true,approved
sen-silegeanu-catalin,SILEGEANU Cătălin,silegeanu-catalin,AUR,AUR,Senat,Circumscripţia electorală nr.07 Botoşani,/photos/portraits/sen-silegeanu-catalin.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=c7757f24-2d04-42a2-833e-c0a9a821ad71,true,approved
sen-spau-dumitru,SPAU Dumitru,spau-dumitru,AUR,AUR,Senat,Circumscripţia electorală nr.40 Vâlcea,/photos/portraits/sen-spau-dumitru.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=f34848d5-327a-4e34-80dd-c28eb44c8d98,true,approved
sen-spataru-elena-simona,SPĂTARU Elena-Simona,spataru-elena-simona,USR,USR,Senat,Circumscripţia electorală nr.42 Bucureşti,/photos/portraits/sen-spataru-elena-simona.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=60bce7c1-fb2b-4f29-9c74-0b37c64a7611,true,approved
sen-stan-ioan,STAN Ioan,stan-ioan,PSD,PSD,Senat,Circumscripţia electorală nr.35 Suceava,/photos/portraits/sen-stan-ioan.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=259a81f5-9971-4b56-b1b5-c4230980bcd3,true,approved
sen-stanescu-paul,STĂNESCU Paul,stanescu-paul,PSD,PSD,Senat,Circumscripţia electorală nr.30 Olt,/photos/portraits/sen-stanescu-paul.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=cd69820b-804d-42bf-be94-c567a0efd41b,true,approved
sen-stelea-niculina,STELEA Niculina,stelea-niculina,AUR,AUR,Senat,Circumscripţia electorală nr.42 Bucureşti,/photos/portraits/sen-stelea-niculina.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=5aa76a32-f2f8-42c0-a868-c5afa29fc744,true,approved
sen-stoica-ciprian-titi,STOICA Ciprian-Titi,stoica-ciprian-titi,AUR,AUR,Senat,Circumscripţia electorală nr.37 Timiş,/photos/portraits/sen-stoica-ciprian-titi.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=1969fbc4-5c74-4b09-afd6-cb64347549de,true,approved
sen-stoiciu-victoria,STOICIU Victoria,stoiciu-victoria,NEAFILIATI,Neafiliati,Senat,Circumscripţia electorală nr.39 Vaslui,/photos/portraits/sen-stoiciu-victoria.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=0317f068-49ad-4541-87d4-cc589aef437f,true,approved
sen-streinu-cercel-adrian,STREINU CERCEL Adrian,streinu-cercel-adrian,PSD,PSD,Senat,Circumscripţia electorală nr.42 Bucureşti,/photos/portraits/sen-streinu-cercel-adrian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=075d383a-42a1-44d5-989f-cc686356d066,true,approved
sen-stroe-felix,STROE Felix,stroe-felix,PSD,PSD,Senat,Circumscripţia electorală nr.14 Constanţa,/photos/portraits/sen-stroe-felix.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e945e210-e8a5-4e58-8c9f-d144f4a062b5,true,approved
sen-sipos-eugen-cristian,ȘIPOȘ Eugen-Cristian,sipos-eugen-cristian,AUR,AUR,Senat,Circumscripţia electorală nr.13 Cluj,/photos/portraits/sen-sipos-eugen-cristian.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=aa6ba21b-d06f-4f62-8659-d4e74add85cb,true,approved
sen-sipos-sorin-gheorghe,ȘIPOȘ Sorin-Gheorghe,sipos-sorin-gheorghe,USR,USR,Senat,Circumscripţia electorală nr.37 Timiş,/photos/portraits/sen-sipos-sorin-gheorghe.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=a2987b08-f230-43f8-ab52-d9073851a524,true,approved
sen-stefanache-gheorghe,ȘTEFĂNACHE Gheorghe,stefanache-gheorghe,USR,USR,Senat,Circumscripţia electorală nr.18 Galaţi,/photos/portraits/sen-stefanache-gheorghe.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=9a773414-4c8d-41af-bd97-d9834eb23395,true,approved
sen-stefanescu-daniela,ȘTEFĂNESCU Daniela,stefanescu-daniela,AUR,AUR,Senat,Circumscripţia electorală nr.04 Bacău,/photos/portraits/sen-stefanescu-daniela.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=bd44b5a4-e8ab-43c1-8b0e-dc539f57f668,true,approved
sen-tasnadi-istvan-szilard,TASNADI Istvan-Szilard,tasnadi-istvan-szilard,UDMR,UDMR,Senat,Circumscripţia electorală nr.13 Cluj,/photos/portraits/sen-tasnadi-istvan-szilard.jpg,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=d7e43180-8a7d-47ce-94dd-e2e6ffb390d1,true,approved
